dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,transaction,view,0.678443704526,adaptive,0.387954,0.6784437045,2,3,3,0.004,,,1,3,0,0.002,False,1.76,
RetailRocket-event,3,9,transaction,view,0.746288074978,adaptive,0.387954,0.6784437045,2,3,3,0.004,,,1,3,0,0.002,False,1.54,
RetailRocket-event,3,9,transaction,view,0.0001,fixed,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,3,0.003,True,1.0,0.0
RetailRocket-event,3,9,transaction,view,0.001,fixed,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,3,0.004,True,0.7,0.0
RetailRocket-event,3,9,transaction,view,0.01,fixed,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,3,0.003,True,0.97,0.0
RetailRocket-event,3,9,transaction,view,0.1,fixed,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,2,0.003,True,1.07,0.0
RetailRocket-event,3,9,transaction,view,0.5,fixed,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.15,0.0
RetailRocket-event,3,9,transaction,view,0.067844370453,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,2,0.01,True,0.3,0.0
RetailRocket-event,3,9,transaction,view,0.203533111358,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,2,0.003,True,0.89,0.0
RetailRocket-event,3,9,transaction,view,0.339221852263,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.15,0.0
RetailRocket-event,3,9,transaction,view,0.474910593168,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.07,0.0
RetailRocket-event,3,9,transaction,view,0.610599334073,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.19,0.0
RetailRocket-event,3,9,transaction,view,0.6445215193,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.19,0.0
RetailRocket-event,3,9,transaction,view,0.671659267481,adaptive,0.387954,0.6784437045,2,3,3,0.003,0.387954,0.6784437045,2,3,1,0.003,True,1.15,0.0
RetailRocket-event,3,9,transaction,view,0.678443704526,adaptive,0.387954,0.6784437045,2,3,3,0.003,,,1,3,0,0.002,False,1.41,
RetailRocket-event,3,9,transaction,view,0.746288074978,adaptive,0.387954,0.6784437045,2,3,3,0.003,,,1,3,0,0.002,False,1.41,
RetailRocket-event,3,9,addtocart,view,0.0001,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.18,0.0
RetailRocket-event,3,9,addtocart,view,0.001,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.18,0.0
RetailRocket-event,3,9,addtocart,view,0.01,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.22,0.0
RetailRocket-event,3,9,addtocart,view,0.1,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.004,True,1.03,0.0
RetailRocket-event,3,9,addtocart,view,0.5,fixed,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.5,0.0
RetailRocket-event,3,9,addtocart,view,0.056519773603,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.004,True,1.11,0.0
RetailRocket-event,3,9,addtocart,view,0.169559320808,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,3,0.003,True,1.22,0.0
RetailRocket-event,3,9,addtocart,view,0.282598868013,adaptive,0.57058,0.5651977360,2,3,3,0.004,0.57058,0.5651977360,2,3,1,0.003,True,1.44,0.0
